año,mes,tipo de cambio 
2008,diciembre,3.425
2009,enero,3.463
2009,febrero,3.511
2009,marzo,3.653
2009,abril,3.692
2009,mayo,3.727
2009,junio,3.769
2009,julio,3.809
2009,agosto,3.839
2009,setiembre,3.843
2009,octubre,3.827
2009,noviembre,3.811
2009,diciembre,3.806
2010,enero,3.805
2010,febrero,3.852
2010,marzo,3.863
2010,abril,3.875
2010,mayo,3.902
2010,junio,3.926
2010,julio,3.935
2010,agosto,3.937
2010,setiembre,3.951
2010,octubre,3.957
2010,noviembre,3.968
2010,diciembre,3.977
2011,enero,3.981
2011,febrero,4.022
2011,marzo,4.037
2011,abril,4.066
2011,mayo,4.084
2011,junio,4.096
2011,julio,4.128
2011,agosto,4.169
2011,setiembre,4.205
2011,octubre,4.221
2011,noviembre,4.26
2011,diciembre,4.288
2012,enero,4.32
2012,febrero,4.348
2012,marzo,4.356
2012,abril,4.397
2012,mayo,4.449
2012,junio,4.497
2012,julio,4.552
2012,agosto,4.61
2012,setiembre,4.67
2012,octubre,4.73
2012,noviembre,4.797
2012,diciembre,4.881
2013,enero,4.948
2013,febrero,5.009
2013,marzo,5.087
2013,abril,5.153
2013,mayo,5.236
2013,junio,5.33
2013,julio,5.44
2013,agosto,5.581
2013,setiembre,5.737
2013,octubre,5.848
2013,noviembre,6.012
2013,diciembre,6.338
2014,enero,7.055
2014,febrero,7.862
2014,marzo,7.926
2014,abril,8.001
2014,mayo,8.039
2014,junio,8.127
2014,julio,8.159
2014,agosto,8.317
2014,setiembre,8.419
2014,octubre,8.479
2014,noviembre,8.514
2014,diciembre,8.551
2015,enero,8.6
2015,febrero,8.684
2015,marzo,8.78
2015,abril,8.866
2015,mayo,8.948
2015,junio,9.043
2015,julio,9.14
2015,agosto,9.242
2015,setiembre,9.365
2015,octubre,9.486
2015,noviembre,9.628
2015,diciembre,11.629
2016,enero,13.611
2016,febrero,14.797
2016,marzo,14.909
2016,abril,14.421
2016,mayo,14.132
2016,junio,14.102
2016,julio,14.91
2016,agosto,14.842
2016,setiembre,15.088
2016,octubre,15.184
2016,noviembre,15.343
2016,diciembre,15.843
2017,enero,15.893
2017,febrero,15.577
2017,marzo,15.527
2017,abril,15.344
2017,mayo,15.695
2017,junio,16.089
2017,julio,17.15
2017,agosto,17.425
